ranking,player,team,fantPosition,games, fantFantPts , fantPPRpts , fantDKpts , fantFDpts , FFperGame , PPperGame , DKperGame , FDperGame 
361,Ross Dwelley,SFO,TE,12, 17.0 , 19.5 , 22.5 , 18.0 , 1.4 , 1.6 , 1.9 , 1.5 
362,James Mitchell,DET,TE,14, 17.0 , 28.3 , 31.3 , 22.8 , 1.2 , 2.0 , 2.2 , 1.6 
363,Steven Sims,PIT,WR,12, 17.0 , 31.4 , 34.4 , 24.4 , 1.4 , 2.6 , 2.9 , 2.0 
364,Benny Snell Jr.,PIT,RB,17, 17.0 , 18.7 , 18.7 , 17.7 , 1.0 , 1.1 , 1.1 , 1.0 
365,Skylar Thompson,MIA,QB,7, 17.0 , 17.5 , 25.5 , 20.5 , 2.4 , 2.5 , 3.6 , 2.9 
366,Darrel Williams,ARI,RB,6, 17.0 , 21.1 , 24.1 , 19.1 , 2.8 , 3.5 , 4.0 , 3.2 
367,Kyle Allen,HOU,QB,2, 16.0 , 15.9 , 23.9 , 19.9 , 8.0 , 8.0 , 12.0 , 10.0 
368,Jeff Driskel,HOU,TE,7, 16.0 , 17.2 , 17.2 , 16.7 , 2.3 , 2.5 , 2.5 , 2.4 
369,Sony Michel,LAC,RB,10, 16.0 , 24.9 , 27.9 , 20.4 , 1.6 , 2.5 , 2.8 , 2.0 
370,Albert Okwuegbunam,DEN,TE,8, 16.0 , 25.5 , 25.5 , 20.5 , 2.0 , 3.2 , 3.2 , 2.6 
371,Hassan Haskins,TEN,RB,15, 15.0 , 26.0 , 26.0 , 20.5 , 1.0 , 1.7 , 1.7 , 1.4 
372,DeSean Jackson,BAL,WR,7, 15.0 , 24.3 , 27.3 , 19.8 , 2.1 , 3.5 , 3.9 , 2.8 
373,Ronald Jones II,KAN,RB,6, 15.0 , 16.2 , 16.2 , 15.7 , 2.5 , 2.7 , 2.7 , 2.6 
374,Bryce Perkins,LAR,QB,5, 15.0 , 15.4 , 17.4 , 17.4 , 3.0 , 3.1 , 3.5 , 3.5 
375,Anthony Schwartz,CLE,WR,11, 15.0 , 18.8 , 19.8 , 16.8 , 1.4 , 1.7 , 1.8 , 1.5 
376,Derek Watt,PIT,RB,17, 15.0 , 20.2 , 20.2 , 17.7 , 0.9 , 1.2 , 1.2 , 1.0 
377,John Wolford,LAR,QB,3, 15.0 , 14.8 , 21.8 , 17.8 , 5.0 , 4.9 , 7.3 , 5.9 
378,Dan Arnold,JAX,TE,17, 14.0 , 22.5 , 25.5 , 18.0 , 0.8 , 1.3 , 1.5 , 1.1 
379,Kenny Golladay,NYG,WR,12, 14.0 , 20.1 , 20.1 , 17.1 , 1.2 , 1.7 , 1.7 , 1.4 
380,Zander Horvath,LAC,RB,15, 14.0 , 18.6 , 18.6 , 16.1 , 0.9 , 1.2 , 1.2 , 1.1 
381,Keaontay Ingram,ARI,RB,12, 14.0 , 18.1 , 18.1 , 16.1 , 1.2 , 1.5 , 1.5 , 1.3 
382,Tom Kennedy,DET,WR,7, 14.0 , 22.1 , 25.1 , 18.1 , 2.0 , 3.2 , 3.6 , 2.6 
383,Ko Kieft,TAM,TE,17, 14.0 , 21.0 , 21.0 , 17.5 , 0.8 , 1.2 , 1.2 , 1.0 
384,Breshad Perriman,TAM,WR,11, 14.0 , 23.3 , 27.3 , 18.8 , 1.3 , 2.1 , 2.5 , 1.7 
385,Samori Toure,GNB,WR,11, 14.0 , 19.2 , 19.2 , 16.7 , 1.3 , 1.7 , 1.7 , 1.5 
386,Jameson Williams,DET,WR,6, 14.0 , 15.1 , 15.1 , 14.6 , 2.3 , 2.5 , 2.5 , 2.4 
387,Cedrick Wilson Jr.,MIA,WR,15, 14.0 , 26.4 , 29.4 , 20.4 , 0.9 , 1.8 , 2.0 , 1.4 
388,Salvon Ahmed,MIA,RB,12, 13.0 , 14.2 , 14.2 , 13.7 , 1.1 , 1.2 , 1.2 , 1.1 
389,Royce Freeman,HOU,RB,4, 13.0 , 19.0 , 23.0 , 16.0 , 3.3 , 4.8 , 5.8 , 4.0 
390,Zach Gentry,PIT,TE,17, 13.0 , 32.2 , 35.2 , 22.7 , 0.8 , 1.9 , 2.1 , 1.3 
391,Reggie Gilliam,BUF,RB,15, 13.0 , 20.9 , 20.9 , 16.9 , 0.9 , 1.4 , 1.4 , 1.1 
392,Tanner Hudson,NYG,TE,11, 13.0 , 23.2 , 26.2 , 18.2 , 1.2 , 2.1 , 2.4 , 1.7 
393,Brevin Jordan,HOU,TE,11, 13.0 , 26.8 , 29.8 , 19.8 , 1.2 , 2.4 , 2.7 , 1.8 
394,Chris Myarick,NYG,TE,16, 13.0 , 19.5 , 19.5 , 16.0 , 0.8 , 1.2 , 1.2 , 1.0 
395,Jeff Smith,NYJ,WR,11, 13.0 , 21.4 , 24.4 , 17.4 , 1.2 , 1.9 , 2.2 , 1.6 
396,Pharaoh Brown,2TM,TE,16, 12.0 , 23.7 , 26.7 , 17.7 , 0.8 , 1.5 , 1.7 , 1.1 
397,T.Y. Hilton,DAL,WR,3, 12.0 , 19.1 , 22.1 , 15.6 , 4.0 , 6.4 , 7.4 , 5.2 
398,Trey Lance,SFO,QB,2, 12.0 , 12.5 , 13.5 , 13.5 , 6.0 , 6.3 , 6.8 , 6.8 
399,Jordan Love,GNB,QB,4, 12.0 , 11.7 , 11.7 , 11.7 , 3.0 , 2.9 , 2.9 , 2.9 
400,Quintin Morris,BUF,TE,14, 12.0 , 20.4 , 21.4 , 16.4 , 0.9 , 1.5 , 1.5 , 1.2 
401,Nick Mullens,MIN,QB,4, 12.0 , 11.8 , 12.8 , 12.8 , 3.0 , 3.0 , 3.2 , 3.2 
402,Jack Stoll,PHI,TE,17, 12.0 , 23.3 , 26.3 , 17.8 , 0.7 , 1.4 , 1.5 , 1.0 
403,Geoff Swaim,TEN,TE,17, 12.0 , 23.8 , 23.8 , 17.8 , 0.7 , 1.4 , 1.4 , 1.0 
404,Jalen Virgil,DEN,WR,9, 12.0 , 13.5 , 14.5 , 12.5 , 1.3 , 1.5 , 1.6 , 1.4 
405,Josiah Deguara,GNB,TE,17, 11.0 , 24.4 , 27.4 , 17.9 , 0.6 , 1.4 , 1.6 , 1.1 
406,Kevin Harris,NWE,RB,5, 11.0 , 11.2 , 11.2 , 11.2 , 2.2 , 2.2 , 2.2 , 2.2 
407,Brycen Hopkins,LAR,TE,14, 11.0 , 17.9 , 20.9 , 14.4 , 0.8 , 1.3 , 1.5 , 1.0 
408,David Sills,NYG,WR,9, 11.0 , 21.6 , 24.6 , 16.1 , 1.2 , 2.4 , 2.7 , 1.8 
409,Tyrod Taylor,NYG,QB,3, 11.0 , 11.3 , 13.3 , 12.3 , 3.7 , 3.8 , 4.4 , 4.1 
410,John Brown,BUF,WR,3, 10.0 , 11.2 , 11.2 , 10.7 , 3.3 , 3.7 , 3.7 , 3.6 
411,Snoop Conner,JAX,RB,8, 10.0 , 10.2 , 10.2 , 10.2 , 1.3 , 1.3 , 1.3 , 1.3 
412,Tyrion Davis-Price,SFO,RB,6, 10.0 , 9.9 , 9.9 , 9.9 , 1.7 , 1.7 , 1.7 , 1.7 
413,Chris Evans,CIN,RB,12, 10.0 , 12.8 , 12.8 , 11.3 , 0.8 , 1.1 , 1.1 , 0.9 
414,Darrynton Evans,CHI,RB,6, 10.0 , 10.7 , 10.7 , 10.2 , 1.7 , 1.8 , 1.8 , 1.7 
415,Anthony Firkser,ATL,TE,11, 10.0 , 19.0 , 22.0 , 14.5 , 0.9 , 1.7 , 2.0 , 1.3 
416,Marcus Johnson,NYG,WR,14, 10.0 , 18.9 , 18.9 , 14.4 , 0.7 , 1.4 , 1.4 , 1.0 
417,Dax Milne,WAS,WR,15, 10.0 , 15.7 , 15.7 , 12.7 , 0.7 , 1.0 , 1.0 , 0.8 
418,Kene Nwangwu,MIN,RB,17, 10.0 , 11.5 , 11.5 , 10.5 , 0.6 , 0.7 , 0.7 , 0.6 
419,Giovanni Ricci,CAR,RB,15, 10.0 , 18.0 , 21.0 , 14.0 , 0.7 , 1.2 , 1.4 , 0.9 
420,Trevor Siemian,CHI,QB,2, 10.0 , 10.2 , 11.2 , 11.2 , 5.0 , 5.1 , 5.6 , 5.6 
421,Michael Bandy,LAC,WR,10, 9.0 , 18.9 , 18.9 , 13.9 , 0.9 , 1.9 , 1.9 , 1.4 
422,Parker Hesse,ATL,TE,17, 9.0 , 17.9 , 17.9 , 13.4 , 0.5 , 1.1 , 1.1 , 0.8 
423,Phillip Lindsay,IND,RB,3, 9.0 , 14.8 , 14.8 , 11.8 , 3.0 , 4.9 , 4.9 , 3.9 
424,Trace McSorley,ARI,QB,6, 9.0 , 8.6 , 18.6 , 13.6 , 1.5 , 1.4 , 3.1 , 2.3 
425,Patrick Ricard,BAL,RB,17, 9.0 , 20.0 , 20.0 , 14.5 , 0.5 , 1.2 , 1.2 , 0.9 
426,Armani Rogers,WAS,TE,11, 9.0 , 14.0 , 14.0 , 11.5 , 0.8 , 1.3 , 1.3 , 1.0 
427,Kyle Rudolph,TAM,TE,9, 9.0 , 11.8 , 11.8 , 10.3 , 1.0 , 1.3 , 1.3 , 1.1 
428,Cam Sims,WAS,WR,17, 9.0 , 16.9 , 16.9 , 12.9 , 0.5 , 1.0 , 1.0 , 0.8 
429,Chris Streveler,NYJ,QB,2, 9.0 , 9.0 , 9.0 , 9.0 , 4.5 , 4.5 , 4.5 , 4.5 
430,Jordan Wilkins,IND,RB,4, 9.0 , 14.7 , 14.7 , 11.7 , 2.3 , 3.7 , 3.7 , 2.9 
431,Tyler Badie,DEN,RB,1, 8.0 , 9.4 , 9.4 , 8.9 , 8.0 , 9.4 , 9.4 , 8.9 
432,Blake Bell,KAN,TE,3, 8.0 , 10.0 , 10.0 , 9.0 , 2.7 , 3.3 , 3.3 , 3.0 
433,Grant Calcaterra,PHI,TE,15, 8.0 , 13.1 , 13.1 , 10.6 , 0.5 , 0.9 , 0.9 , 0.7 
434,Chase Daniel,LAC,QB,4, 8.0 , 8.5 , 8.5 , 8.5 , 2.0 , 2.1 , 2.1 , 2.1 
435,Brandon Johnson,DEN,WR,7, 8.0 , 14.2 , 15.2 , 11.2 , 1.1 , 2.0 , 2.2 , 1.6 
436,Jaret Patterson,WAS,RB,3, 8.0 , 7.8 , 7.8 , 7.8 , 2.7 , 2.6 , 2.6 , 2.6 
437,Nathan Peterman,CHI,QB,3, 8.0 , 8.3 , 9.3 , 9.3 , 2.7 , 2.8 , 3.1 , 3.1 
438,Andrew Beck,DEN,TE,13, 7.0 , 11.9 , 11.9 , 9.4 , 0.5 , 0.9 , 0.9 , 0.7 
439,D'Wayne Eskridge,SEA,WR,10, 7.0 , 13.8 , 13.8 , 10.3 , 0.7 , 1.4 , 1.4 , 1.0 
440,Tyler Mabry,SEA,TE,2, 7.0 , 7.7 , 7.7 , 7.2 , 3.5 , 3.9 , 3.9 , 3.6 
441,Tre' McKitty,LAC,TE,17, 7.0 , 17.2 , 17.2 , 12.2 , 0.4 , 1.0 , 1.0 , 0.7 
442,Ty Montgomery,NWE,WR,1, 7.0 , 10.3 , 10.3 , 8.8 , 7.0 , 10.3 , 10.3 , 8.8 
443,Gunner Olszewski,PIT,WR,16, 7.0 , 12.2 , 13.2 , 9.7 , 0.4 , 0.8 , 0.8 , 0.6 
444,Freddie Swain,2TM,WR,4, 7.0 , 11.4 , 11.4 , 9.4 , 1.8 , 2.9 , 2.9 , 2.4 
445,Ke'Shawn Vaughn,TAM,RB,15, 7.0 , 10.2 , 10.2 , 8.7 , 0.5 , 0.7 , 0.7 , 0.6 
446,Kevin White,NOR,WR,7, 7.0 , 9.4 , 9.4 , 8.4 , 1.0 , 1.3 , 1.3 , 1.2 
447,Zamir White,LVR,RB,14, 7.0 , 7.0 , 7.0 , 7.0 , 0.5 , 0.5 , 0.5 , 0.5 
448,Anthony Brown,BAL,QB,2, 6.0 , 5.6 , 11.6 , 7.6 , 3.0 , 2.8 , 5.8 , 3.8 
449,Jamison Crowder,BUF,WR,4, 6.0 , 12.0 , 12.0 , 9.0 , 1.5 , 3.0 , 3.0 , 2.3 
450,Jalen Guyton,LAC,WR,3, 6.0 , 8.4 , 8.4 , 7.4 , 2.0 , 2.8 , 2.8 , 2.5 
451,Tyler Kroft,SFO,TE,11, 6.0 , 9.7 , 9.7 , 7.7 , 0.5 , 0.9 , 0.9 , 0.7 
452,Jake Kumerow,BUF,WR,6, 6.0 , 10.4 , 10.4 , 8.4 , 1.0 , 1.7 , 1.7 , 1.4 
453,Mike Strachan,IND,WR,13, 6.0 , 8.9 , 8.9 , 7.4 , 0.5 , 0.7 , 0.7 , 0.6 
454,Trent Taylor,CIN,WR,16, 6.0 , 11.7 , 12.7 , 8.7 , 0.4 , 0.7 , 0.8 , 0.5 
455,Deven Thompkins,TAM,WR,5, 6.0 , 10.8 , 10.8 , 8.3 , 1.2 , 2.2 , 2.2 , 1.7 
456,Mike Thomas,CIN,WR,10, 6.0 , 7.8 , 7.8 , 6.8 , 0.6 , 0.8 , 0.8 , 0.7 
457,Nick Vannett,2TM,TE,9, 6.0 , 11.5 , 11.5 , 8.5 , 0.7 , 1.3 , 1.3 , 0.9 
458,Trayveon Williams,CIN,RB,8, 6.0 , 8.0 , 8.0 , 7.0 , 0.8 , 1.0 , 1.0 , 0.9 
459,Andre Baccellia,ARI,WR,8, 5.0 , 11.5 , 11.5 , 8.0 , 0.6 , 1.4 , 1.4 , 1.0 
460,Spencer Brown,CAR,RB,2, 5.0 , 7.3 , 7.3 , 6.3 , 2.5 , 3.7 , 3.7 , 3.2 
461,Julius Chestnut,TEN,RB,6, 5.0 , 8.3 , 8.3 , 6.8 , 0.8 , 1.4 , 1.4 , 1.1 
462,Chris Conley,2TM,WR,9, 5.0 , 8.6 , 8.6 , 6.6 , 0.6 , 1.0 , 1.0 , 0.7 
463,Blaine Gabbert,TAM,QB,1, 5.0 , 5.2 , 5.2 , 5.2 , 5.0 , 5.2 , 5.2 , 5.2 
464,Myles Gaskin,MIA,RB,4, 5.0 , 9.4 , 9.4 , 7.4 , 1.3 , 2.4 , 2.4 , 1.9 
465,Cody Hollister,TEN,WR,11, 5.0 , 8.4 , 8.4 , 6.9 , 0.5 , 0.8 , 0.8 , 0.6 
466,David Johnson,NOR,RB,5, 5.0 , 9.1 , 10.1 , 7.1 , 1.0 , 1.8 , 2.0 , 1.4 
467,Tony Jones,2TM,RB,6, 5.0 , 10.4 , 10.4 , 7.9 , 0.8 , 1.7 , 1.7 , 1.3 
468,Charlie Kolar,BAL,TE,2, 5.0 , 8.9 , 8.9 , 6.9 , 2.5 , 4.5 , 4.5 , 3.5 
469,Ronnie Rivers,LAR,RB,8, 5.0 , 10.0 , 10.0 , 7.5 , 0.6 , 1.3 , 1.3 , 0.9 
470,Isaiah Spiller,LAC,RB,6, 5.0 , 8.4 , 8.4 , 6.9 , 0.8 , 1.4 , 1.4 , 1.2 
471,Stephen Sullivan,CAR,TE,14, 5.0 , 6.6 , 6.6 , 5.6 , 0.4 , 0.5 , 0.5 , 0.4 
472,Patrick Taylor,GNB,RB,14, 5.0 , 5.8 , 5.8 , 5.3 , 0.4 , 0.4 , 0.4 , 0.4 
473,Dwayne Washington,NOR,RB,12, 5.0 , 5.5 , 5.5 , 5.0 , 0.4 , 0.5 , 0.5 , 0.4 
474,Trevon Wesco,CHI,TE,14, 5.0 , 6.6 , 6.6 , 5.6 , 0.4 , 0.5 , 0.5 , 0.4 
475,Cole Beasley,2TM,WR,4, 4.0 , 9.5 , 9.5 , 6.5 , 1.0 , 2.4 , 2.4 , 1.6 
476,Kendall Blanton,LAR,TE,4, 4.0 , 5.5 , 5.5 , 4.5 , 1.0 , 1.4 , 1.4 , 1.1 
477,Trestan Ebner,CHI,RB,17, 4.0 , 6.2 , 7.2 , 5.2 , 0.2 , 0.4 , 0.4 , 0.3 
478,Luke Farrell,JAX,TE,17, 4.0 , 8.0 , 8.0 , 6.0 , 0.2 , 0.5 , 0.5 , 0.4 
479,Chris Manhertz,JAX,TE,17, 4.0 , 10.2 , 10.2 , 7.2 , 0.2 , 0.6 , 0.6 , 0.4 
480,Anthony McFarland Jr.,PIT,RB,1, 4.0 , 6.1 , 6.1 , 5.1 , 4.0 , 6.1 , 6.1 , 5.1 
481,Racey McMath,TEN,WR,5, 4.0 , 6.4 , 6.4 , 5.4 , 0.8 , 1.3 , 1.3 , 1.1 
482,Kyle Philips,TEN,WR,4, 4.0 , 11.8 , 13.8 , 7.8 , 1.0 , 3.0 , 3.5 , 2.0 
483,James Proche,BAL,WR,15, 4.0 , 12.2 , 13.2 , 9.2 , 0.3 , 0.8 , 0.9 , 0.6 
484,Laquon Treadwell,SEA,WR,6, 4.0 , 10.2 , 10.2 , 7.2 , 0.7 , 1.7 , 1.7 , 1.2 
485,Michael Woods II,CLE,WR,10, 4.0 , 9.0 , 9.0 , 6.5 , 0.4 , 0.9 , 0.9 , 0.7 
486,Daylen Baldwin,CLE,WR,1, 3.0 , 4.5 , 4.5 , 3.5 , 3.0 , 4.5 , 4.5 , 3.5 
487,Giovani Bernard,TAM,RB,8, 3.0 , 4.7 , 4.7 , 3.7 , 0.4 , 0.6 , 0.6 , 0.5 
488,Tyrie Cleveland,DEN,WR,6, 3.0 , 4.8 , 4.8 , 3.8 , 0.5 , 0.8 , 0.8 , 0.6 
489,Jaelon Darden,2TM,WR,14, 3.0 , 4.8 , 4.8 , 3.8 , 0.2 , 0.3 , 0.3 , 0.3 
490,Tyler Davis,GNB,TE,17, 3.0 , 6.6 , 6.6 , 4.6 , 0.2 , 0.4 , 0.4 , 0.3 
491,Ben Ellefson,MIN,TE,4, 3.0 , 5.6 , 5.6 , 4.1 , 0.8 , 1.4 , 1.4 , 1.0 
492,Ryan Griffin,CHI,TE,15, 3.0 , 6.6 , 6.6 , 4.6 , 0.2 , 0.4 , 0.4 , 0.3 
493,Tim Jones,JAX,WR,17, 3.0 , 6.0 , 6.0 , 4.5 , 0.2 , 0.4 , 0.4 , 0.3 
494,Larry Rountree,LAC,RB,4, 3.0 , 5.3 , 5.3 , 4.3 , 0.8 , 1.3 , 1.3 , 1.1 
495,DJ Turner,LVR,WR,9, 3.0 , 2.6 , 2.6 , 2.6 , 0.3 , 0.3 , 0.3 , 0.3 
496,Tylan Wallace,BAL,WR,9, 3.0 , 7.3 , 7.3 , 5.3 , 0.3 , 0.8 , 0.8 , 0.6 
497,Jonathan Ward,2TM,RB,8, 3.0 , 5.2 , 5.2 , 4.2 , 0.4 , 0.7 , 0.7 , 0.5 
498,Michael Burton,KAN,RB,17, 2.0 , 3.8 , 3.8 , 2.8 , 0.1 , 0.2 , 0.2 , 0.2 
499,Quintez Cephus,DET,WR,4, 2.0 , 3.5 , 3.5 , 2.5 , 0.5 , 0.9 , 0.9 , 0.6 
500,Ty Chandler,MIN,RB,3, 2.0 , 2.0 , 2.0 , 2.0 , 0.7 , 0.7 , 0.7 , 0.7 
501,Pharoh Cooper,ARI,WR,5, 2.0 , 4.1 , 4.1 , 3.1 , 0.4 , 0.8 , 0.8 , 0.6 
502,Frank Darby,ATL,WR,5, 2.0 , 2.5 , 2.5 , 2.0 , 0.4 , 0.5 , 0.5 , 0.4 
503,Mike Davis,BAL,RB,8, 2.0 , 4.2 , 4.2 , 3.2 , 0.3 , 0.5 , 0.5 , 0.4 
504,Bryan Edwards,ATL,WR,7, 2.0 , 4.5 , 4.5 , 3.0 , 0.3 , 0.6 , 0.6 , 0.4 
505,Simi Fehoko,DAL,WR,5, 2.0 , 5.4 , 5.4 , 3.9 , 0.4 , 1.1 , 1.1 , 0.8 
506,Nick Foles,IND,QB,3, 2.0 , 1.8 , 5.8 , 5.8 , 0.7 , 0.6 , 1.9 , 1.9 
507,Danny Gray,SFO,WR,13, 2.0 , 2.9 , 2.9 , 2.4 , 0.2 , 0.2 , 0.2 , 0.2 
508,Troy Hairston,HOU,RB,16, 2.0 , 6.9 , 6.9 , 4.4 , 0.1 , 0.4 , 0.4 , 0.3 
509,Penny Hart,SEA,WR,9, 2.0 , 5.0 , 5.0 , 3.5 , 0.2 , 0.6 , 0.6 , 0.4 
510,Jesper Horsted,LVR,TE,15, 2.0 , 4.9 , 4.9 , 3.4 , 0.1 , 0.3 , 0.3 , 0.2 
511,Dennis Houston,DAL,WR,2, 2.0 , 3.6 , 3.6 , 2.6 , 1.0 , 1.8 , 1.8 , 1.3 
512,Lil'Jordan Humphrey,NWE,WR,6, 2.0 , 4.0 , 4.0 , 3.0 , 0.3 , 0.7 , 0.7 , 0.5 
513,Andy Isabella,2TM,WR,5, 2.0 , 4.2 , 4.2 , 3.2 , 0.4 , 0.8 , 0.8 , 0.6 
514,Cade Johnson,SEA,WR,3, 2.0 , 4.1 , 4.1 , 3.1 , 0.7 , 1.4 , 1.4 , 1.0 
515,D'Ernest Johnson,CLE,RB,15, 2.0 , 5.4 , 5.4 , 3.9 , 0.1 , 0.4 , 0.4 , 0.3 
516,Keith Kirkwood,NOR,WR,5, 2.0 , 3.8 , 3.8 , 2.8 , 0.4 , 0.8 , 0.8 , 0.6 
517,Dezmon Patmon,IND,WR,1, 2.0 , 4.4 , 4.4 , 3.4 , 2.0 , 4.4 , 4.4 , 3.4 
518,Adam Prentice,NOR,RB,11, 2.0 , 4.8 , 4.8 , 3.3 , 0.2 , 0.4 , 0.4 , 0.3 
519,Trey Sermon,PHI,RB,2, 2.0 , 1.9 , 1.9 , 1.9 , 1.0 , 1.0 , 1.0 , 1.0 
520,Stone Smartt,LAC,TE,7, 2.0 , 5.7 , 5.7 , 3.7 , 0.3 , 0.8 , 0.8 , 0.5 
521,J.J. Taylor,NWE,RB,1, 2.0 , 2.7 , 2.7 , 2.2 , 2.0 , 2.7 , 2.7 , 2.2 
522,Cole Turner,WAS,TE,10, 2.0 , 4.3 , 4.3 , 3.3 , 0.2 , 0.4 , 0.4 , 0.3 
523,Maxx Williams,ARI,TE,11, 2.0 , 4.8 , 4.8 , 3.3 , 0.2 , 0.4 , 0.4 , 0.3 
524,Juwann Winfree,GNB,WR,3, 2.0 , 2.7 , 2.7 , 2.2 , 0.7 , 0.9 , 0.9 , 0.7 
525,Dareke Young,SEA,WR,13, 2.0 , 4.4 , 4.4 , 3.4 , 0.2 , 0.3 , 0.3 , 0.3 
526,Maurice Alexander,DET,WR,4, 1.0 , 1.7 , 1.7 , 1.2 , 0.3 , 0.4 , 0.4 , 0.3 
527,Brandon Allen,CIN,QB,1, 1.0 , 0.8 , 0.8 , 0.8 , 1.0 , 0.8 , 0.8 , 0.8 
528,Stephen Anderson,ARI,TE,16, 1.0 , 3.9 , 3.9 , 2.4 , 0.1 , 0.2 , 0.2 , 0.2 
529,Devin Asiasi,CIN,TE,12, 1.0 , 2.5 , 2.5 , 1.5 , 0.1 , 0.2 , 0.2 , 0.1 
530,C.J. Board,TEN,WR,4, 1.0 , 1.6 , 1.6 , 1.1 , 0.3 , 0.4 , 0.4 , 0.3 
531,Reggie Bonnafon,WAS,RB,1, 1.0 , 0.8 , 0.8 , 0.8 , 1.0 , 0.8 , 0.8 , 0.8 
532,Miles Boykin,PIT,WR,16, 1.0 , 3.1 , 3.1 , 2.1 , 0.1 , 0.2 , 0.2 , 0.1 
533,Jason Cabinda,DET,RB,8, 1.0 , 1.9 , 1.9 , 1.4 , 0.1 , 0.2 , 0.2 , 0.2 
534,Jalen Camp,HOU,WR,2, 1.0 , 1.7 , 1.7 , 1.2 , 0.5 , 0.9 , 0.9 , 0.6 
535,Jerome Ford,CLE,RB,13, 1.0 , 1.2 , 1.2 , 1.2 , 0.1 , 0.1 , 0.1 , 0.1 
536,Jacob Harris,LAR,TE,7, 1.0 , 1.6 , 1.6 , 1.1 , 0.1 , 0.2 , 0.2 , 0.2 
537,Kylin Hill,GNB,RB,2, 1.0 , 0.7 , 0.7 , 0.7 , 0.5 , 0.4 , 0.4 , 0.4 
538,Brian Hoyer,NWE,QB,1, 1.0 , 1.5 , 1.5 , 1.5 , 1.0 , 1.5 , 1.5 , 1.5 
539,Godwin Igwebuike,SEA,RB,5, 1.0 , 1.7 , 1.7 , 1.2 , 0.2 , 0.3 , 0.3 , 0.2 
540,Jakob Johnson,LVR,RB,17, 1.0 , 6.0 , 6.0 , 3.5 , 0.1 , 0.4 , 0.4 , 0.2 
541,Josh Johnson,SFO,QB,2, 1.0 , 0.7 , 0.7 , 0.7 , 0.5 , 0.4 , 0.4 , 0.4 
542,Tyron Johnson,2TM,WR,4, 1.0 , 1.8 , 1.8 , 1.3 , 0.3 , 0.5 , 0.5 , 0.3 
543,Sean McKeon,DAL,TE,13, 1.0 , 3.1 , 3.1 , 2.1 , 0.1 , 0.2 , 0.2 , 0.2 
544,Jason Moore,LAC,WR,6, 1.0 , 1.5 , 1.5 , 1.0 , 0.2 , 0.3 , 0.3 , 0.2 
545,Devine Ozigbo,DEN,RB,4, 1.0 , 1.7 , 1.7 , 1.2 , 0.3 , 0.4 , 0.4 , 0.3 
546,Jeremy Ruckert,NYJ,TE,9, 1.0 , 1.8 , 1.8 , 1.3 , 0.1 , 0.2 , 0.2 , 0.1 
547,Mason Schreck,HOU,TE,3, 1.0 , 2.6 , 2.6 , 1.6 , 0.3 , 0.9 , 0.9 , 0.5 
548,Keith Smith,ATL,RB,17, 1.0 , 2.0 , 2.0 , 1.5 , 0.1 , 0.1 , 0.1 , 0.1 
549,Tommy Sweeney,BUF,TE,5, 1.0 , 1.7 , 1.7 , 1.2 , 0.2 , 0.3 , 0.3 , 0.2 
550,Jalen Tolbert,DAL,WR,8, 1.0 , 3.2 , 3.2 , 2.2 , 0.1 , 0.4 , 0.4 , 0.3 
551,Austin Trammell,LAR,WR,6, 1.0 , 3.3 , 3.3 , 2.3 , 0.2 , 0.6 , 0.6 , 0.4 
552,Kyle Trask,TAM,QB,1, 1.0 , 0.9 , 0.9 , 0.9 , 1.0 , 0.9 , 0.9 , 0.9 
553,Montrell Washington,DEN,WR,15, 1.0 , 5.2 , 6.2 , 3.2 , 0.1 , 0.3 , 0.4 , 0.2 
554,Nsimba Webster,CHI,WR,2, 1.0 , 3.4 , 3.4 , 2.4 , 0.5 , 1.7 , 1.7 , 1.2 
555,Ty'Son Williams,ARI,RB,1, 1.0 , 1.5 , 1.5 , 1.0 , 1.0 , 1.5 , 1.5 , 1.0 